uid,spell,cw
1,!,！
2,!,？
3,!,～
4,!,)
5,!,(
6,，,，
7,，,；
8,，,_
9,，,」
10,，,「
11,.,。
12,.,.
13,.,：
14,.,…
15,.,;
16,.V,…
17,、,、
18,、,》
19,、,《
20,，A,α
21,，A,ㄚ
22,，AV,ㄚ
23,，AI,ㄞ
24,，AN,ㄢ
25,，AND,＆
26,，ANG,ㄤ
27,，AO,ㄠ
28,，AU,ㄠ
29,，B,8
30,，B,Ⅷ
31,，B,β
32,，B,ㄅ
33,，B,⑻
34,，B,⑧
35,，B,＆
36,，BV,Ⅷ
37,，BS,ㄅ
38,，BF,⑻
39,，BW,⑧
40,，BL,＆
41,，BC,ⅷ
42,，BI,仝
43,，BIE,仝
44,，BR,≧
45,，BR,≦
46,，BRV,≦
47,，C,7
48,，C,Ⅶ
49,，C,ㄘ
50,，C,⑺
51,，C,⑦
52,，CV,Ⅶ
53,，CR,ㄘ
54,，CF,⑦
55,，CW,ⅶ
56,，CC,㏄
57,，CH,ㄔ
58,，CHI,ㄔ
59,，CHI,ㄑ
60,，CHIV,ㄑ
61,，CI,ㄑ
62,，CM,㎝
63,，CP,￠
64,，CPO,℅
65,，CS,˙
66,，CY,˙
67,，D,ㄉ
68,，D,δ
69,，DB,捌
70,，DC,柒
71,，DE,壹
72,，DF,肆
73,，DG,仟
74,，DJ,拾
75,，DK,玖
76,，DL,陸
77,，DO,零
78,，DOL,＄
79,，DOL,﹩
80,，DOLV,﹩
81,，DP,佰
82,，DR,貳
83,，DS,參
84,，DS,☆
85,，DS,★
86,，DSV,☆
87,，DSR,★
88,，DSE,☆
89,，DSE,★
90,，DSEV,★
91,，DV,萬
92,，DW,伍
93,，E,1
94,，E,Ⅰ
95,，E,ㄝ
96,，E,ㄜ
97,，E,ー
98,，E,–
99,，E,⑴
100,，E,①
101,，E,ε
102,，E,Σ
103,，EV,Ⅰ
104,，EW,–
105,，EC,①
106,，EB,ε
107,，EK,Σ
108,，EE,＿
109,，EEE,﹉
110,，EEE,﹍
111,，EEEV,﹍
112,，EF,▃
113,，EF,▄
114,，EF,▏
115,，EF,▎
116,，EF,▍
117,，EF,▌
118,，EF,▋
119,，EF,▊
120,，EF,▉
121,，EFV,▄
122,，EFR,▏
123,，EFS,▎
124,，EFF,▍
125,，EFW,▌
126,，EFL,▋
127,，EFC,▊
128,，EFB,▉
129,，EH,ㄝ
130,，EI,ㄟ
131,，EI,ˆ
132,，EIV,ˆ
133,，EL,ㄦ
134,，EL,τ
135,，ELV,τ
136,，EN,ㄣ
137,，ENG,ㄥ
138,，ER,ㄦ
139,，ER,π
140,，ERV,π
141,，ES,˙
142,，ES,ξ
143,，ESV,ξ
144,，EY,˙
145,，EZ,→
146,，E.E,﹊
147,，E.E,﹎
148,，E.EV,﹎
149,，F,4
150,，F,Ⅳ
151,，F,ㄈ
152,，F,⑷
153,，F,④
154,，F,♀
155,，FV,Ⅳ
156,，FR,ㄈ
157,，FF,④
158,，FW,♀
159,，FL,ⅳ
160,，FN,□
161,，FN,■
162,，FN,◇
163,，FN,◆
164,，FN,█
165,，FN,▇
166,，FN,▆
167,，FN,▅
168,，FN,▂
169,，FNV,■
170,，FNR,◇
171,，FNS,◆
172,，FNF,█
173,，FNW,▇
174,，FNL,▆
175,，FNC,▅
176,，FNB,▂
177,，FS,ˋ
178,，FY,ˋ
179,，G,（
180,，G,ㄍ
181,，G,γ
182,，G,ˆ
183,，GB,⑻
184,，GC,⑺
185,，GE,⑴
186,，GEO,⑽
187,，GF,⑷
188,，GG,）
189,，GGV,︶
